Job Title,DESCRIPTION ,Skills
Textile engineer,"This position offers fresh graduates or individuals with some industry experience the chance to start their career and grow within the company. The role involves assisting with the development of production processes, improving efficiency and product quality, and learning industry standards and best practices. Candidates will work closely with senior managers on projects and daily operations while applying continuous improvement methodologies like SMED and Kaizen.","Textile Engineering, Garment Engineering, SMED Analysis, Kaizen"
Trainee Devops Engineer,"This role at Squarera offers an excellent opportunity for candidates with a software engineering background to gain hands-on experience in cloud infrastructure, automation, and DevOps processes. The position involves troubleshooting Linux systems, supporting deployment processes, and collaborating with the automation team to improve current systems. Candidates will also participate in scrum calls, handle customer escalations, and work with DevOps tools like Ansible, Jenkins, and Docker while gaining exposure to cloud platforms like AWS.","Linux, AWS, DevOps, Ansible, Puppet, Red Hat, Amazon Linux, Linux Programming, Shell Scripting, Java, Python, Jenkins, Docker, Continuous Integration, Continuous Deployment"
Electrical Trainee Engineer,"The role requires a Bachelor's degree in electrical engineering and up to one year of professional experience, preferably within an electrical company. Responsibilities include managing quotations and proposals, coordinating with clients, overseeing site management, and handling maintenance and troubleshooting tasks. The successful candidate will also be involved in summarizing data, preparing budgets, and ensuring compliance with electrical engineering codes and safety standards.","Electrical Engineering, Design and Calculation Software, Electrical Manufacturing Processes, Electrical Engineering Codes, Safety Standards"
Architecture Engineer,"The position involves close collaboration with architects to develop building designs that prioritize structural stability and safety. The role requires the use of CAD software and 3D modeling tools to create and refine plans while ensuring compliance with building codes. Additionally, candidates will perform structural analyses to evaluate building loads and materials, solve design challenges, and recommend optimal solutions for structural support systems.","Building Design, AutoCad, Structural Engineering, Computer-Aided Design, CAD Software, 3D Modeling Tools, Structural Calculations, Building Loads, Materials, Structural Support Systems"
Junior Network Support Engineer,"This role involves providing technical assistance and troubleshooting for hardware and software issues, maintaining and supporting network systems, and ensuring service levels are met. The position requires strong knowledge of IP routing, network design, and experience with wireless access controllers and network equipment from vendors like Cisco, Juniper, and Huawei. The candidate will need critical thinking skills to resolve complex problems, work both independently and as part of a team, and communicate effectively in written and verbal formats.","IP Routing, Network Designing, Troubleshooting, Wireless Access Controllers, Access Points, Network Systems Design Principles, Cisco, Juniper, Huawei, Network Equipment, Network Technologies"
System Engineer,"The role focuses on troubleshooting server deployment, particularly for Virtual Machines and Linux-based servers, with an emphasis on automation. Candidates will be responsible for managing services like DNS, web, mail, and DHCP on Linux servers, along with utilizing VMware or Linux certifications where applicable. The position requires strong technical, analytical, and organizational skills, with the ability to write scripts for system automation and respond to installation and maintenance needs as they arise.","Server Deployment, Virtual Machines, Linux-Based Servers, Automation, TCP/IP Network, DNS, Web Services, Mail Services, DHCP, Network Management Systems, VMware, Linux Certification, Scripting for System Automation"
Network Engineer,"The NOC Engineer will be responsible for overseeing telecommunication networks, monitoring performance, and troubleshooting network and system issues. The role requires deploying and managing network systems, inspecting hardware installations, and ensuring the security and efficiency of the IT infrastructure. A successful candidate will have extensive experience in networking, IP protocols, and troubleshooting, along with certifications like CCNA or CCNP, and the ability to work well under pressure while maintaining smooth network operations.","Network Deployment, Network Infrastructure, IT Network Systems, Hardware Installation, Cabling Systems, Network Monitoring, Network Troubleshooting, System Backups, Network Security, IP Networking, Cisco Routing, Cisco Switching, Multicast, Quality of Service, IOS Security, IPv6, CCNA, CCNP"
AutoCAD Draftsman,"The position requires candidates to use AutoCAD for drafting mechanical and electrical building systems drawings based on input from engineers and designers. Successful candidates will need to work efficiently while ensuring accuracy and attention to detail, making revisions as required. The role involves working on multiple projects in a fast-paced environment, with the ability to communicate effectively in English and read technical drawings.","AutoCAD, Mechanical Building Systems, Electrical Building Systems, Drafting Software, Building Systems Drawings, AutoCAD 2000, Drawing Revisions, Commercial Projects, Institutional Projects, High-Rise Residential Projects"
Staff Software Engineer,"This role focuses on delivering enterprise-level cloud infrastructure solutions and scalable application deployments, leveraging software engineering best practices and a meta-driven approach. The candidate will play a key role in driving architectural decisions, mentoring junior team members, and solving complex operational issues in a cloud-native, microservices-based environment. Experience in technologies such as Java, Spring Boot, MS Azure, Kafka, and Snowflake, along with leadership in design and development, will be critical to success in this role.","Java, Spring Boot, Gradle, GIT, Hibernate, REST API, OAuth, Microservices Architecture, MS Azure, ARM Templates, AKS, HD Insight, Application Gateway, Virtual Networks, Event Hub, Azure AD, Kubernetes, Kafka, Elasticsearch, Spark, NoSQL, RDBMS, Snowflake, Ignite, Scala, Cloud Native Architecture, Distributed Microservices, Multi-Tenant SaaS, API Management, Docker, React, DevOps, Infrastructure as Code, Identity Management, Secure Architecture"
Digital Marketing Executive,"The Digital Marketing Executive is responsible for planning, executing, and optimizing digital marketing campaigns to enhance global brand awareness and drive website traffic. This role involves managing PPC campaigns across various platforms, including Facebook, Google, Instagram, LinkedIn, and more, while overseeing campaign budgets, analyzing effectiveness, and staying updated on digital trends. The executive will also support the development of educational opportunities for the marketing team and ensure a consistent brand message across all digital channels. A strong background in digital marketing, social media advertising, and campaign performance measurement is essential for success.","Facebook Ads, Facebook Ads Manager, Facebook Campaigns, Google Ads, Google AdWords, Google Marketing, YouTube Marketing, Google Tag Manager, Google Analytics, Google Webmaster Tools, PPC Campaigns, Instagram Ads, LinkedIn Ads, Twitter Ads, WhatsApp Marketing, Yahoo Ads, Bing Ads, Email Marketing, Text Marketing, Conversion Optimization, Campaign Budgeting, Automation Channels, Digital Technologies, ROI, KPIs"
Video Animator,"The Video Animator will be responsible for creating engaging and visually impactful animations for various digital projects, including advertisements and explainer videos. The role requires proficiency in 2D and 3D animation tools, such as Adobe After Effects, Premiere Pro, Cinema 4D, and Blender, along with a strong portfolio that demonstrates a variety of animation styles. The ideal candidate should have excellent communication skills for collaboration, an understanding of visual storytelling, and the ability to meet deadlines while managing multiple projects. Experience with VFX and sound editing is preferred.","Adobe After Effects, Adobe Premiere Pro, Cinema 4D, Blender, Animation, 2D Animation, 3D Animation, Motion Graphics, Video Editing, Visual Storytelling, VFX, Sound Editing"
Content Writer,"The remote content writer will be responsible for creating engaging, research-driven content that aligns with the brand’s voice across various platforms such as websites, blogs, and social media. The role requires expertise in SEO and content optimization, along with strong writing, editing, and research skills. The ideal candidate should be self-motivated, able to manage their time effectively, and collaborate remotely with marketing and design teams to ensure cohesive messaging. Tracking content performance and suggesting improvements based on analytics will also be key responsibilities.","Content Writing, SEO, Research, Editing, Proofreading, Blogging, Social Media Content, Email Campaigns, Content Optimization, Analytics, Time Management"
Graphic Designer,"The graphic designer will be responsible for creating visually compelling content for web and social media platforms, including banners, ads, and promotional materials. The role involves collaborating with marketing and development teams to ensure a cohesive brand image and maintaining design templates for consistency. The designer will also assist in the creation of logos, presentations, and other visual assets. Proficiency in Adobe Creative Suite, along with a strong understanding of typography, color theory, and layout design, is essential. Basic knowledge of UI/UX principles is a plus.","Graphic Design, Adobe Creative Suite ,Photoshop, Illustrator, InDesign, Figma, Typography, Color Theory, Layout Design, UI/UX Principles, Design Software"
Technical Content Writer,"The content writer will create SEO-optimized content for various platforms, including websites, blogs, articles, social media updates, press releases, and guest posts. They will be responsible for producing content that drives traffic while adhering to SEO best practices, including the use of keywords, LSI keywords, and meta tags. Additionally, they will work closely with the SEO team and developers, utilizing graphics editing and media creation tools to develop prototypes and storyboards. The role requires at least one year of technical writing experience in the IT industry, strong English skills, and an understanding of how to rank keywords effectively.","SEO Best Practices, Content Writing, Keyword Research, LSI Keywords, Meta Tags, Content Marketing Metrics, Graphics Editing, Media Creation, Digital Tools, SEO Collaboration, Technical Writing, IT Industry Knowledge"
Senior Graphic Designer,"The Graphic Designer will create visual content that effectively conveys messaging while managing multiple projects within design specifications and budgets. They will work with a variety of media and design software to produce high-quality graphics for websites, social media, and other platforms. The role requires proficiency in Adobe Suite, a strong understanding of color theory and typography, and the ability to interpret data to improve design outcomes. The designer will also assist with lead generation in the IT design and development field and contribute to UI/UX design. A solid portfolio showcasing graphic and UI/UX design expertise is essential.","Adobe Suite, Photoshop, InDesign, QuarkXPress, Illustrator, Typography, Print Design, Web Design, Color Theory, UI/UX Design, Lead Generation, Data Interpretation, Graphic Fundamentals, Graphic Design Software, IT Design and Development, Design Aesthetics"
Senior SEO Specialist,"The Senior SEO Specialist will design and execute comprehensive SEO strategies to drive organic growth in the healthcare sector. This includes conducting in-depth keyword research, optimizing on-page and off-page SEO, and implementing technical SEO improvements to enhance website performance. The role involves collaborating with cross-functional teams, including content and marketing, to align SEO efforts with business goals. A strong focus will be placed on local SEO and Google My Business optimization, alongside tracking performance with SEO tools. The ideal candidate will have at least four years of SEO experience, with expertise in both local and international markets, and a solid understanding of Google algorithm updates. A background in healthcare SEO is preferred.","SEO Strategy, Keyword Research, On-Page SEO, Off-Page SEO, Link Building, Technical SEO, Google Analytics, Google Search Console, Ahrefs, SEMrush, Local SEO, Google My Business Optimization, Competitive Analysis, Data Analysis, Content Strategy, HTML, CSS, JavaScript, SEO Reporting, Healthcare SEO, SEO Trends, Google Algorithm Updates"
SEO Content Writer,"The SEO Content Writer will create high-quality, keyword-rich content tailored to SEO best practices, ensuring alignment with brand voice and improving search engine rankings. The role involves writing web content, blog posts, and guest posts while optimizing existing content for better user engagement. Collaboration with the SEO team is key, as well as staying up-to-date with industry trends. The candidate must have proven experience in SEO writing, with strong editing and organizational skills to manage multiple projects and deadlines. A background in English, Marketing, or a related field is preferred.","SEO Content Writing, Keyword Research, Metadata Optimization, SEO Best Practices, Web Content Creation, Blog Posts, Guest Posts, Content Optimization, Content Strategy, Editing, Proofreading, SEO Metrics Analysis, SEO Reporting, User Engagement Metrics, AI-Free Content, Content Marketing, SEO Guidelines Adherence"
SEO Link Builder,"The SEO Link Builder will focus on managing link-building strategies and keyword optimization to enhance search engine rankings across major platforms. They will optimize web content, including title tags and meta descriptions, while leveraging SEO tools to improve visibility. The ideal candidate will be result-oriented and stay current with SEO trends and internet marketing best practices. The role requires a deep understanding of SEO link-building techniques and the ability to develop strategies that drive measurable outcomes.","SEO, Link Building, Keyword Strategy, SEO Tools, Meta Descriptions, Title Tags, Web Content Optimization, Search Engine Rankings, Internet Marketing, SEO Trends, Copy Optimization"
Technical Business Analyst,"The Technical Business Analyst / Onboarding Consultant will work closely with clients to facilitate the integration and adoption of digital technologies, ensuring seamless processes and efficient workflows. This role involves gathering business requirements, translating them into technical specifications, and developing tailored training content. The ideal candidate will have experience in conducting needs analysis, delivering user training, and supporting digital transformation initiatives, working across various project lifecycles with a focus on change management and client collaboration.","Business Analysis, Digital Adoption, Requirements Gathering, Functional Specifications, Project Management, Change Management, User Acceptance Testing, IT Application Training, Stakeholder Management, Instructional Design, Integration Testing, UAT, Digital Transformation"
Social Media Coordinator ,"The Social Media Manager will be responsible for developing and executing a social media strategy across multiple platforms, ensuring consistent and engaging content that aligns with the brand’s voice. This role requires strong creativity and attention to detail, as well as the ability to analyze performance and adjust strategies for improved engagement. The ideal candidate will stay updated on the latest social media trends and collaborate with the marketing team to ensure cohesive messaging across campaigns.","Social Media Strategy, Social Media Analytics, Content Creation, Social Media Marketing, Facebook, Instagram, Twitter, LinkedIn, TikTok, Social Media Trends, Content Calendar Management, Branding, Social Media Algorithms, Marketing Campaigns"
Business Analyst,"The role focuses on process design, tool and report building, and analytics related to content and creatives. The ideal candidate will work with cross-functional teams to improve workflows, processes, and databases, with a particular focus on content creation. This position requires strong problem-solving and analytical skills, advanced Excel knowledge, and a passion for technology and automation. Optional skills in Power Query, VBA, PHP, and MySQL are a plus, with training provided for these areas. The role is remote, requiring UK working hours, and offers growth opportunities in a fast-paced, dynamic environment.","Process Design, Tool Development, Report Building, Analytics, Content Creation, Workflow Improvement, Databases, Request Forms, Excel (Advanced), Power Query, VBA, PHP, MySQL, Symfony, Data Automation, Reporting Systems, E-content Performance Analysis"
Financial Analyst,"The role involves overseeing the general accounting and financial processing functions, ensuring timely and accurate financial reporting, analysis, and compliance with company policies and GAAP standards. The candidate will be responsible for managing balance sheet reconciliations, statutory financial filings, and internal controls while coordinating with the Pakistan Finance Group and outsourcing teams. The position requires strong experience in financial reporting, internal controls, and statutory filings, with specific expertise in US GAAP and legal entity accounting. The ideal candidate will have a professional accounting qualification (ACCA, CA, or CIMA) and over 5 years of experience.","General Accounting, Financial Processing, Financial Reporting, Financial Analysis, GAAP Reporting (US GAAP), Statutory Financial Statements, Tax Planning, Entity Restructuring, Internal Controls, External Audits, Statutory Filings, Financial Systems, Consolidations, Management Reporting, Balance Sheet Reconciliation, SOX Compliance, Internal Policies, Legal Entity Accounting"
Financial Executive,"The Finance Executive will be responsible for managing various financial operations, such as overseeing collections, invoicing, payroll, and reporting, with a focus on Odoo software. The role involves generating financial reports, processing invoices, managing bank collections, and assisting in the preparation of Profit and Loss statements and Balance Sheets. The ideal candidate should have a Bachelor's degree in Commerce (BCom), at least one year of experience in finance, and proficiency in financial software, especially Odoo. Strong organizational skills, attention to detail, and the ability to work both independently and as part of a team are essential for this position.","Collections Management, Invoicing, Financial Reporting, Odoo Software, Financial Statements, Profit and Loss Statements, Balance Sheets, Payroll Administration, Microsoft Excel, Documentation and Filing, Data Entry, Sales Reporting, Accounting Software, Bank Collections, Invoice Management"
Accounts and Finance Executive,"The Accounts and Finance Executive will play a key role in overseeing the organization’s financial activities, including maintaining general ledger accounts, preparing financial statements, managing accounts payable and receivable, and assisting with budgeting and forecasting. This role requires the preparation of financial reports, ensuring compliance with accounting standards and tax regulations, and coordinating with auditors during annual audits. A Bachelor’s degree in Accounting or Finance, along with proven experience in a similar role, strong knowledge of accounting principles, and proficiency in accounting software and MS Excel, are required for success in this position.","Financial Accounting, General Ledger Reconciliation, Financial Statements, Balance Sheet, Income Statement, Cash Flow Statement, Accounts Payable, Accounts Receivable, Invoice Processing, Payment Processing, Budgeting, Forecasting, Financial Analysis, Financial Reporting, Tax Computation, Tax Filing, GST, VAT, Income Tax, Audit Coordination, Financial Systems, Internal Controls, Accounting Software, MS Excel, Regulatory Compliance"
Accounts Officer,"The Accounts Officer will be responsible for preparing accurate financial statements and reports, assisting with month-end and year-end closing processes, and reconciling accounts. This role involves managing accounts payable and receivable, conducting financial analysis, supporting budgeting efforts, and ensuring compliance with regulations. The candidate should have a Bachelor’s degree in Accounting or Finance, with 2-3 years of experience in accounting and proficiency in accounting software. Strong attention to detail, organizational skills, and the ability to work under pressure are key to succeeding in this role.","Financial Statements, Month-End Closing, Year-End Closing, Account Reconciliation, Accounts Payable, Accounts Receivable, Financial Analysis, Budgeting, Regulatory Compliance, Audits, Accounting Software (QuickBooks, SAP, Excel), Financial Reporting, Organizational Skills, Time Management, Communication Skills"
Accounts Assistant,"The Accounts Assistant will support daily financial operations by assisting in the preparation of financial documents, monitoring accounts receivable and payable activities, and maintaining accurate records. Responsibilities include handling petty cash, assisting with payroll, and ensuring timely payments to vendors. A Bachelor's degree in Accounting or Finance with 1-2 years of experience is required, along with proficiency in Microsoft Excel and a basic understanding of accounting software. The role demands strong attention to detail, organizational skills, and the ability to collaborate effectively in a team environment.","Financial Document Preparation, Invoices, Bills, Expense Reports, Account Receivables, Accounts Payables, General Ledger, Petty Cash Management, Payroll Processing, Vendor Payments, Transaction Recording, Microsoft Excel, MS Office, Accounting Software, ERP Systems, Data Entry, Financial Record Keeping, Organizational Skills, Time Management, Team Collaboration"
Textile and Fashion Designer,"The Textile and Fashion Designer will create original designs and collections by researching trends and materials to develop innovative products. Key responsibilities include selecting fabrics and embellishments, working closely with production teams on prototypes, conducting market research, and ensuring the final product meets design and brand standards. A Bachelor's degree in Textile or Fashion Design with 3+ years of experience, proficiency in design software like Adobe Illustrator and Photoshop, and a strong understanding of fabrics and construction techniques are required. The role demands creativity, attention to detail, and the ability to manage multiple projects efficiently.","Textile Design, Fashion Design, Original Designs, Patterns, Color Combinations, Trend Analysis, Material Selection, Fabric Trims, Embellishments, Prototyping, Market Research, Cross-functional Team Coordination, Design Software (Adobe Illustrator, Photoshop), Fabric Knowledge, Construction Techniques, Quality Control, Pre-production Samples, Attention to Detail, Time Management, Creativity, Design Communication, Product Development"
Textile Designer,"The Textile Designer will create innovative textile designs, prints, and patterns for women's apparel, ensuring alignment with brand aesthetics and market trends. The role involves using design software such as Adobe Photoshop and Illustrator, developing color palettes, and collaborating with operations to create prototypes and samples. A minimum of 2 years of experience in textile designing, along with a Bachelor's degree in Textile Design, is required. A strong portfolio, communication skills, and keen attention to detail are essential for success in this role.","Textile Design, Prints, Patterns, Women's Apparel, Brand Aesthetics, Market Trends, Color Palettes, Design Software (Adobe Photoshop, Illustrator), Prototype Development, Sample Creation, Digital Design Representation, Fashion Trend Awareness, Communication Skills, Attention to Detail"
Fashion Designer,"The Fashion Designer will be responsible for creating embroidery layouts and sketches, designing on-trend styles for both Eastern and Western wear, and overseeing the production of embroidery pieces. The role requires proficiency in Wilcom software, pattern-making, and collaborating with vendors for timely delivery of samples. A Bachelor’s degree in Fashion or Textile Designing and 1-2 years of relevant experience are required, along with expertise in stitching and embroidery production. Strong attention to design trends and color schemes is essential.","Fashion Designing, Textile Designing, Embroidery Layouts, Sketching (Manual & Digital), Eastern & Western Wear Design, Stitching & Embroidery Production, Wilcom Embroidery Software, Pattern Making, Vendor Management, Color Schemes, Stitches Effects, Production-Ready Design Translation"
Social Media Manager ,"The Social Media Manager & Content Creator will develop and execute strategies across various social media platforms to enhance the salon’s online presence. Responsibilities include creating engaging content (photos, videos, captions), managing accounts, and analyzing performance to optimize engagement. With proven experience in social media management and a passion for beauty trends, the ideal candidate will work closely with the marketing team to ensure alignment with brand goals. Familiarity with graphic design tools and video editing software is beneficial.","Social Media Strategy, Content Creation, Social Media Management, Photo & Video Creation, Caption Writing, Social Media Analytics, Performance Data, Graphic Design Tools, Video Editing Software, Marketing Team Collaboration, Beauty Industry Trends, Brand Alignment"
Social Media Expert,"The Social Media Expert will be responsible for crafting and executing social media strategies across various platforms to enhance brand visibility, engage with audiences, and drive website traffic. With 5+ years of experience, the role requires a proven ability to grow social media presence, along with expertise in content creation and curation. Strong analytics skills to monitor engagement rates and conversions, and a deep understanding of each platform's audience are essential. The ideal candidate will also stay up-to-date with the latest trends and best practices in social media marketing.","Social Media Strategy, Facebook, Twitter, Instagram, LinkedIn, Pinterest, Google My Business, YouTube, Content Creation, Content Curation, Social Media Management Tools, Analytics & Reporting, Engagement Metrics, Follower Growth, Conversion Tracking, Hashtags, Industry Trends, Cross-functional Collaboration"
Customer Service Officer,"The Customer Service Officer for a salon chain will handle inquiries and concerns from customers via phone and social media. Responsibilities include providing detailed service information, resolving complaints, coordinating with branch managers, and maintaining records of customer interactions. The role focuses on ensuring customer satisfaction, promoting loyalty, and adhering to company policies. This position plays a key role in enhancing the customer experience and supporting the salon chain’s service operations.","Customer Service, Phone Handling, Social Media Communication, Customer Inquiry Management, Service Information, Complaint Resolution, Branch Coordination, Record Documentation, Customer Loyalty, Data Protection, Service Quality Improvement, Customer Retention"
Sales Closer,"The Sales Closer for the Med Alert campaign will engage with potential clients, qualifying leads and providing information on medical alert services. The role requires effective sales techniques to close deals and meet monthly targets. The position involves maintaining accurate records, collaborating with the marketing team, and staying informed about industry trends to refine sales pitches and provide exceptional customer service. The candidate should have a strong sales background and be motivated to achieve results.","Sales, Lead Qualification, Sales Closing, Customer Relationship Management, Communication, Negotiation, Customer Service, Sales Target Achievement, Sales Strategy, Market Research"
Sales Representative ,"The Sales Representative will focus on recruiting new talent by screening prospective candidates, inviting them for interviews, and conducting skills testing. The role includes achieving hiring targets, building professional relationships with employees, and ensuring high motivation levels. The position is results-driven, with bonuses tied to hiring performance and employee longevity. The candidate should be patient, target-oriented, honest, and hardworking, with a commitment to presenting the company well to prospective and current employees.","Sales, Recruiting, Talent Acquisition, Candidate Screening, Interviewing, Skills Testing, Relationship Building, Target Achievement, Employee Retention, Motivation Strategies, Bonus Plans"
HR Coordinator,"The Human Resources Coordinator/Manager at Pegasus Mortgages Lending Center is responsible for recruiting salespeople and staff, handling contract negotiations, and overseeing onboarding and initial training. The role includes implementing process improvements, addressing grievances, conducting team-building activities, and ensuring confidentiality in all staffing matters. The successful candidate will report to the VP of Operations, work in a remote capacity, and be expected to manage recruitment efficiently while maintaining high morale and effective communication with the team.","Recruitment, Contract Negotiation, Onboarding, Team Management, Staff Recruitment, Sales Recruitment, Process Improvement, Employee Relations, Staff Training, Communication, CRM Software, MS Office, Time Management, Cloud-based Work Environments, Confidentiality, Customer Relationship Management"
Technical Recruiter ,"The HR Technical Recruiter will manage the end-to-end recruitment process for technical positions for a UAE-based client. Initially working remotely, the recruiter will develop recruitment strategies, source candidates, conduct screenings, and facilitate interviews. The role also includes onboarding support and ensuring compliance with labor laws. The successful candidate will have 3-5 years of experience in technical recruitment, excellent communication skills, and proficiency in using ATS and other recruitment tools to track and manage candidates effectively.","Technical Recruitment, Talent Acquisition, Job Postings, Candidate Screening, Interviews, Hiring Process, Job Descriptions, Candidate Pipeline Management, Onboarding, Recruitment Administration, ATS (Applicant Tracking System), Recruitment Metrics, Labor Laws Compliance, Social Media Recruiting, Networking, Negotiation Skills, Communication, Remote Work"
HR Executive,"The HR professional will be responsible for leading the bulk hiring initiatives and managing the recruitment process for multiple positions in a fast-paced environment. Key tasks include developing recruitment strategies, sourcing and screening candidates, coordinating recruitment events, and collaborating with hiring managers. The role demands proven experience in high-volume recruitment, especially through campus drives and recruitment agencies. The candidate must possess excellent communication skills, the ability to work under pressure, and proficiency in recruitment software and ATS.","Bulk Hiring, High-Volume Recruitment, Candidate Screening, Job Postings, Interviewing, Offer Management, Recruitment Events, Job Fairs, Campus Drives, Recruitment Agencies, Applicant Tracking Systems (ATS), Recruitment Metrics, Recruitment Strategies, Sourcing Techniques, Recruitment Best Practices, University Recruitment, Hiring Plans, External Partner Relations, Recruitment Software"
Research Writer,"The Researcher role at Technexia involves conducting thorough research for scientific articles, books, and publications, drafting comprehensive manuscripts, and performing detailed editing and proofreading. The candidate will also be responsible for formatting documents according to specific citation styles and conducting data analysis using software like MATLAB, Python, and SPSS. Ideal candidates should have strong skills in data analysis, previous research writing experience, and excellent communication abilities. Preference will be given to those with advanced qualifications (MPhil, PGD, PhD) and expertise in analytical software.","Scientific Research, Content Development, Manuscript Drafting, Report Writing, Editing, Proofreading, Document Formatting, Data Analysis, Statistical Analysis, Qualitative Analysis, MATLAB, Python, SPSS, AMOS, LATEX, E-Views, SAS, Research Writing, Citation Styles ,APA, MLA, Chicago, Industry Software, Data Interpretation, Research Articles, Literature Reviews"
Statistician,"The Statistician will analyze large datasets to identify trends, develop statistical models, and design experiments to support decision-making. The role involves using statistical software like R, SAS, SPSS, or Python, and creating data visualizations using tools such as Tableau or Power BI. The candidate should have strong problem-solving skills, the ability to communicate complex data insights effectively, and work collaboratively with cross-functional teams. A Bachelor’s or Master’s degree in Statistics or a related field, along with at least one year of relevant experience, is required.","Data Analysis, Statistical Modeling, Experimental Design, Data Visualization, Statistical Software ,R, SAS, SPSS, Python, Regression Analysis, Hypothesis Testing, Time-Series Analysis, Data Management, Tableau, Power BI, Report Preparation, Presentation Skills, Data Accuracy, Problem-Solving, Attention to Detail, Cross-Functional Collaboration"
Marketing Analyst,"The Marketing Analyst will work with cross-functional teams to prioritize feature development, integrate AI technologies, and enhance the SolutionInn platform to improve student engagement. The role requires strong data analysis skills, proficiency in Excel and data visualization tools (Tableau, Power BI), and experience with web analytics tools. The candidate should have at least two years of relevant experience, a Bachelor’s degree in a quantitative field, and a passion for leveraging data to enhance educational experiences. The ability to communicate insights effectively to both technical and non-technical teams is key to success in this role.","Data Analysis, Product Analysis, Market Research, Data Visualization, Excel, Tableau, Power BI, Web Analytics , Google Analytics, Mixpanel, Agile Methodology, Data Interpretation, Usability Testing, Competitive Analysis, AI Integration, Research and Development, Product Optimization, Feature Development, Stakeholder Communication"
Digital Marketing Specialist ,"The Digital Marketing Specialist will drive impactful healthcare marketing campaigns, focusing on SEO, social media, and email marketing to increase patient engagement and brand visibility. The role requires at least two years of experience in healthcare-focused digital marketing, proficiency in SEO tools like Google Analytics and SEMrush, and strong content creation skills. The candidate should have a Bachelor’s degree in Marketing, Communications, Public Health, or a related field. Excellent communication skills, an analytical mindset, and the ability to work in a cross-functional team are essential to succeed in this position.","Digital Marketing, SEO, Social Media Management, Content Strategy, Healthcare Marketing, Campaign Management, Google Analytics, SEMrush, Email Marketing, Performance Analytics, Data-Driven Insights, SEO Optimization, Market Research, Healthcare Communication, Compliance Regulations, Marketing Tools, Social Media Engagement, Brand Visibility, Patient Engagement"
BUSINESS DEVELOPMENT EXECUTIVE,"The Business Development Executive will play a crucial role in expanding the customer base by identifying new business opportunities and building strong client relationships. With a Bachelor's degree in Business, Marketing, or a related field, and up to two years of experience in business development or sales, the candidate will be responsible for meeting sales targets, conducting presentations, and collaborating with cross-functional teams. Strong communication, negotiation, and interpersonal skills are essential, along with proficiency in CRM software and MS Office to track sales activities and client interactions.","Business Development, Sales, Market Research, Networking, Sales Presentations, Product Demos, Proposal Preparation, Client Relationship Management, Sales Targets, CRM Software, MS Office, Negotiation, Communication, Interpersonal Skills, Customer Interaction, Team Collaboration"
Marketing Executive ,"This role involves managing and planning the publication of various publicity materials across social and electronic media channels to boost brand visibility. The ideal candidate will conduct market research on competitors, implement SMS, email, WhatsApp, and Facebook marketing campaigns, and introduce innovative marketing ideas. Responsibilities also include creating design materials like posters, brochures, and videos, ensuring they meet regulatory and Shariah compliance. Additionally, the role includes maintaining and updating the company website, managing live chat services, and addressing investor inquiries in a timely manner.","Market Research, Social Media Marketing, Competitor Analysis, SMS Marketing, Email Marketing, WhatsApp Marketing, Facebook Marketing, Brand Promotion, Creative Design, Poster Design, Leaflet Design, Brochure Design, Advertising, Video Production, Short Clips, Regulatory Compliance, Shariah Advisory, Website Management, Live-Chat Management, Investor Relations"
General Physician,"We are looking for an experienced General Physician to diagnose and treat common illnesses and medical conditions. The ideal candidate will conduct regular health check-ups, screenings, and provide preventive care, developing treatment plans and prescribing necessary medications. Additionally, the physician will offer health advice on lifestyle and diet, refer patients to specialists when needed, and maintain accurate medical records. ","Patient Care, Medical Diagnosis, Treatment Planning, Preventive Healthcare, Health Assessments, Medical Documentation, Prescription Management, Specialist Referrals, Lifestyle and Diet Guidance"
Physiotherapist,"We are seeking a skilled Physiotherapist to assess and treat patients within their home environment, developing and implementing personalized physiotherapy programs. The role involves continuous learning through in-house training and providing education to patients and families to ensure effective participation in treatment. The ideal candidate will have a Bachelor’s or Doctor of Physical Therapy (DPT) degree and 1-2 years of relevant experience, with strong communication and time management skills","Physiotherapy Treatment, Patient Assessment, Treatment Plan Development, Exercise Plan Formulation, In-house Training, Patient Education, Interpersonal Skills, Time Management"
Senior Technical Product Manager,"The position seeks a Product Manager or Project Manager to work closely with clients, aligning product strategy with their strategic goals. The role involves developing and communicating clear product roadmaps, managing feature prioritization, and overseeing product development through Agile practices. The candidate should have at least 5 years of experience in product or project management, with strong client relationship skills and proficiency in tools like Jira, Confluence, and Figma. Experience with international clients, remote teams, and certifications like PMP or CSM is a plus.","Product Strategy, Product Roadmap, Feature Prioritization, User Stories, Acceptance Criteria, Project Management, Backlog Management, Agile Methodologies, Scrum, Risk Management, Jira, Confluence, Figma, Product Lifecycle, Client Relationship Management, Cross-functional Team Leadership, Data-driven Decision Making, Product Requirements, Project Planning, Resour"
